Month,data_science,data_scientist,ds_all
2004-01,14,3,15.5
2004-02,17,0,17
2004-03,10,4,12
2004-04,9,0,9
2004-05,7,3,8.5
2004-06,6,3,7.5
2004-07,7,0,7
2004-08,5,4,7
2004-09,14,5,16.5
2004-10,9,5,11.5
2004-11,12,3,13.5
2004-12,10,2,11
2005-01,11,2,12
2005-02,13,7,16.5
2005-03,9,3,10.5
2005-04,8,2,9
2005-05,8,2,9
2005-06,9,2,10
2005-07,6,2,7
2005-08,9,2,10
2005-09,8,3,9.5
2005-10,10,2,11
2005-11,8,2,9
2005-12,5,2,6
2006-01,9,1,9.5
2006-02,7,1,7.5
2006-03,7,0,7
2006-04,9,2,10
2006-05,6,1,6.5
2006-06,5,0,5
2006-07,5,1,5.5
2006-08,7,1,7.5
2006-09,10,2,11
2006-10,7,1,7.5
2006-11,8,2,9
2006-12,6,1,6.5
2007-01,6,1,6.5
2007-02,9,1,9.5
2007-03,6,2,7
2007-04,7,2,8
2007-05,5,1,5.5
2007-06,6,1,6.5
2007-07,4,1,4.5
2007-08,7,1,7.5
2007-09,9,2,10
2007-10,8,1,8.5
2007-11,8,2,9
2007-12,5,1,5.5
2008-01,8,1,8.5
2008-02,9,1,9.5
2008-03,7,1,7.5
2008-04,7,2,8
2008-05,8,1,8.5
2008-06,5,2,6
2008-07,5,1,5.5
2008-08,6,2,7
2008-09,9,4,11
2008-10,8,2,9
2008-11,8,2,9
2008-12,7,2,8
2009-01,9,2,10
2009-02,10,2,11
2009-03,8,1,8.5
2009-04,7,1,7.5
2009-05,6,2,7
2009-06,6,1,6.5
2009-07,5,1,5.5
2009-08,6,2,7
2009-09,10,5,12.5
2009-10,8,2,9
2009-11,10,2,11
2009-12,7,2,8
2010-01,11,2,12
2010-02,9,3,10.5
2010-03,9,3,10.5
2010-04,8,2,9
2010-05,6,1,6.5
2010-06,5,1,5.5
2010-07,5,1,5.5
2010-08,6,3,7.5
2010-09,10,5,12.5
2010-10,8,4,10
2010-11,8,3,9.5
2010-12,7,3,8.5
2011-01,9,3,10.5
2011-02,8,2,9
2011-03,8,3,9.5
2011-04,8,3,9.5
2011-05,8,3,9.5
2011-06,5,2,6
2011-07,5,2,6
2011-08,7,6,10
2011-09,13,10,18
2011-10,9,6,12
2011-11,10,4,12
2011-12,8,6,11
2012-01,12,6,15
2012-02,10,6,13
2012-03,9,8,13
2012-04,10,7,13.5
2012-05,10,7,13.5
2012-06,7,7,10.5
2012-07,5,7,8.5
2012-08,11,10,16
2012-09,16,18,25
2012-10,13,12,19
2012-11,12,11,17.5
2012-12,11,12,17
2013-01,14,12,20
2013-02,12,12,18
2013-03,12,13,18.5
2013-04,14,23,25.5
2013-05,15,18,24
2013-06,11,15,18.5
2013-07,10,15,17.5
2013-08,14,19,23.5
2013-09,23,23,34.5
2013-10,19,19,28.5
2013-11,18,18,27
2013-12,16,14,23
2014-01,23,20,33
2014-02,21,22,32
2014-03,22,21,32.5
2014-04,20,22,31
2014-05,20,24,32
2014-06,18,24,30
2014-07,19,24,31
2014-08,28,35,45.5
2014-09,36,38,55
2014-10,30,32,46
2014-11,27,29,41.5
2014-12,24,26,37
2015-01,31,34,48
2015-02,30,32,46
2015-03,30,35,47.5
2015-04,33,37,51.5
2015-05,34,33,50.5
2015-06,30,36,48
2015-07,31,37,49.5
2015-08,40,44,62
2015-09,51,49,75.5
2015-10,42,57,70.5
2015-11,38,41,58.5
2015-12,35,36,53
2016-01,44,56,72
2016-02,42,46,65
2016-03,40,47,63.5
2016-04,41,45,63.5
2016-05,39,45,61.5
2016-06,36,39,55.5
2016-07,34,36,52
2016-08,44,43,65.5
2016-09,54,51,79.5
2016-10,48,48,72
2016-11,48,47,71.5
2016-12,44,48,68
2017-01,59,60,89
2017-02,57,62,88
2017-03,61,56,89
2017-04,60,59,89.5
2017-05,57,63,88.5
2017-06,52,59,81.5
2017-07,50,60,80
2017-08,63,65,95.5
2017-09,71,75,108.5
2017-10,70,73,106.5
2017-11,64,66,97
2017-12,56,53,82.5
2018-01,70,72,106
2018-02,69,72,105
2018-03,68,74,105
2018-04,71,74,108
2018-05,68,81,108.5
2018-06,62,73,98.5
2018-07,61,72,97
2018-08,76,85,118.5
2018-09,100,86,143
2018-10,95,87,138.5
2018-11,75,73,111.5
2018-12,68,66,101
2019-09,89,100,139
2019-08,88,99,137.5
2019-03,85,83,126.5
2019-04,85,87,128.5
2019-05,76,85,118.5
2019-06,75,79,114.5
2019-07,72,82,113
2019-01,84,88,128
2019-02,84,88,128
2019-10,82,88,126
2019-11,82,79,121.5
2019-12,82,82,123
